Polarity,Text
negative,القطع التابعة للدركسون في المطبات تحسها مهربدة تحتاج تربيط.
neutral,عزم الماكينة أقل من منافسيها ما عدا في الخط جبارة.
negative,جربت 2017 اللمتد داخلية السيارة فاشلة بكل ما تعنيه الكلمة وفراملها سيئة وكل فرامل تويوتا جودتها سيئة.
negative,ما في لا عزم و لا شي ضعيفة المكيف أبو كلب بالصيف.
negative,كرهتها بسبب صرفية بنزين ويا ليت مقابلها عزم وقوة.
negative,مكينة قديمة ما في تطورات.
negative,"عزم ما في بنزين تصرف مره, مكيف تعبان بالصيف كهربه ضعيفة."
negative,خبطت المكينة بسبب الحرارة.
positive,الشيروكي لا يعلى عليه كأداء ورفاهية.
positive,سافرت عليه ووجدته ممتاز حتى مقعد السائق مريح جداً.
positive,السيارة رخيصة بقيمتها و سعرها مناسب و منظرها جميل لكن قطع غيارها غير متوفرة او غالية الثمن.
neutral,حلو وقوي بس قطع غياره نار.
positive,كامري تمحطها تمحيط ما تقول لا و الشارع قدامك يثبت.
negative,الماليبو عند جارنا واستخدامه بسيط لكن تطلع لك عيوب من حيث لا تعلم مثلا الكمبوريسر وقطعها مو متوفرة كثير.
positive,الكامري مكينتها و الكمبريسر ممتازين جدا.
negative,الامريكي اربعه سلندر اغسل يدك منه وسلامتك.
negative,الماليبو كنت ماخذ فيها مقلب لين راحت المكينة وحصلت مكينة مستخدمة ب 18 الف طبعا اربع سلندر انحش عنها.
negative,نصيحة اخ لا تقرب للماليبو زبالة وأعطال كثيرة.
negative,واضح ان الماليبو سيئة سألت كذا ميكانيكي و كهرباء و كلهم قالو اهرب منها بحكم أعطال الكهربائية كثيرة و عدم توفر القطع.
negative,كان معي ماليبو كرهتها هبلت بي بالخرابات.
negative,عندي كتمة وتفتفة في السيارة.
negative,عندنا نافارا 2010 مشكلتها دوران مروحة المكينة ضعيف فهذا الشي يسبب ارتفاع الحرارة اذا كنت في طلوع شديد.
negative,بطء دوران مروحة المكينة.
neutral,السيارة رخيصة بقيمتها وسعرها مناسب ومنظرها جميل لكن قطع غيارها غير متوفرة او غالية الثمن.
negative,أول ما اشغله يطلع صوت طقطقة بالمكينة.
positive,الاكورد حلوة قيرها CVT موفرة للوقود.
positive,المازدا برضو اقتصادية بسبب تقنية بمكاينهم اسمها سكاي اكتف.
positive,الالتيما نفس قير الاكورد و أرخص وافضل صرفية بنزين.
positive,الالتيما موصفات حلوة مقابل سعر ممتاز.
positive,هونداي توسان سيارة ممتازة و سعر مناسب و ما تصرف بنزين عن تجربة.
negative,الكوري بشكل عام نسمع انه فيه مشاكل بالتكييف.
negative,سيارة غير شعبية يعني انسى تجيب لك قيمة اذا رغبت البيع.
positive,المازدا ب 68 مواصفاتها قوية و السيارة ياباني.
negative,قطعها غالية وغير متوفرة الافي المدن الكبيرة مثل الرياض وجدة وبعضها لن تجدها غير بالطلب وطبعا يتاخر.
positive,هيونداي كريتا صرفيتها ممتازة وسعرها أقل من المبلغ اللي معاك شكل ومواصفات حلوة.
positive,صراحهً السيارة عاجبتني جداً كشكل.
negative,عيبها من وجهة نظري وزنها ثقيل ومحركها ضعيف.
positive,هايلوكس لك و للزمن و القطع بكل مكان ومكينته وقيره تصبر وتتحمل.
negative,"الCVT ضعيف ما يتحمل المكاين الكبيرة عشان كذا ما تحصله بالسيارات الكبيرة و الرياضية, حالياً هم يستعملونه للسيارات الاقتصادية اللي محركها صغير بس."
negative,الرينجر قطع بالوكالة فقط و لا يصبر.
negative,مهما سويت لا تدور الراحه بالهايلوكس.
negative,لي اسبوعين اواجه مشكلة اذا جيت امسك فرامل بالسيارة يطلع فيها صوت يحسسك ان السيارة بتتفكك.
negative,طلبت تجربة قياده و مكيفها سيء صراحه.
positive,معي اكسنت 2016 وصرفيتها ولله الحمد ممتازة جدا.
negative,كثيرة الأعطال خصوصاً التكييف بعز الصيف يضرب الكمبرسور.
negative,ديزل ما هو حق خط ابد.
positive,جربت القولف الديزل و الباسات و الفورد فوكس ديزل كانت من أروع السيارات ما واجهت مشاكل خصوصا اذا بتمسك خطوط الديزل يطربك بالخط لانها كل ما تسخن يزيد عزمها وصرفيتها قليلة جدا.
negative,قطع غيارها موت وما تتصلح الا بالوكالة.
negative,السيارة فيها صوت حنه بالمكينة.
negative,الرينو راح تتعبك في صيانتها و توفر قطعها.
negative,ما ينفع بريال مشاكل كهرباء وقير ابتعد عنها.
negative,نصيحة محب لا تقربه مشاكله كثير في القير و التكييف سيء بتصرف عليه أضعاف قيمته.
negative,الموديل قديم وراح تصرف عليه كثير جدا في الصيانة.
negative,غير مريح الأعطال الكهربائية صعبة التشخيص أحيانا مشاكل في القير.
negative,عندي الاكسنت بها دخان كثيف اذا مشيت وايضا اذا شغلتها صباحا مع نزول ماء ونقص بالزيت وملاحظ عليها رائحة كربون مع صرفية زيادة للبنزين.
negative,سيارات الاوريون مشهورة بتخبيط القير.
negative,المكيف يفصل اذا وقفت السيارة.
negative,يوم اجي اشغل المكيف و السيارة واقفة ما يبرد.
negative,كانت معي يارس 2011 كرهتها بسبب المكيف مره يقلب حار مره مره يبرد اخر شي بعتها.
positive,رخيصة وتوفر بنزين بنفس الوقت.
negative,مخيسة جدا قطعها ماهي متوفرة الا بالوكالة فقط.
negative,صوت حنه مزعجة في مقدمة السيارة.
negative,ضربت علي مكينة الكامري.
positive,الافالون موتر ما يختلف عليه اثنين انه موتر كد و مد.
negative,عندي مشكلة في السرعة يعني أمشي أكثر من 120 ترتفع الحرارة الى فوق النص وبعض الأحيان توصل للأتش الا ربع.
positive,بصراحه أشوفها الان فعلا تستحق سعرها.
positive,مميزاتها جوده في الصناعة الميكانيكية. جوده في خامة الديكور بدي ما شاء الله قوي مقارنة بباقي السيارات. 
negative,احس برعشة ونفضة خفيفة اذا دعست له بقوة يعني اذا جاء يلقم الدعسة الثانية احيانا استجابته ضعيفة.
positive,اقتصادية جداً في استهلاك الوقود.
negative,مشكلة النطنطة طول الطريق كأنك راكب شاص.
positive,قطع الغيار ما اقول رخيصة مره لكن تستحق قيمتها بجودتها.
negative,استهلاكها للزيت بشكل شره.
positive,بكل أمانة الكامري حسنوها وتصميمها ممتاز.
neutral,مكيفها الظهر ما يجمل الا اذا كان على 5 اما في الليل ما شاء الله ثلاجة.
negative,المساعدات تغييرها صعب ومكلف.
negative,التورس مشكلتها انها معقدة جدا في الصيانة وفي اغلب الأعطال الالكترونية ليس امامك الا الوكالة.
negative,الكارونة تطلع صوت مع دعسة البنزين.
negative,التوروس من تجربة لزملاء وأصدقاء لي أشوفها سيارة مقلب كبير لا جوده صناعه و طقطقة في كل مكان و خرابات غبية جدا و المكينة بهندسه سيئة جدا يعني اذا بتغير بواجي لازم تفك الرأس كامل.
positive,بالنسبة للتورس سيارة عملية وأثبتت نفسها و الدليل انتشارها الكبير وقطع غيارها تعتبر رخيصة مقارنة بالمنافسين.
negative,الناس تشتكي من ارتفاع الحرارة.
negative,فيه تهريب من راس الرديتر تحت الغطا وتهريب جامد.
neutral,هي سيارة ممتازة كحجم ورساوة و قوة ولكن عيبها الوحيد اللي أشوفه انه يبي لها اهتمام في الصيانة خصوصا في الميكانيكا.
positive,السيارات الايطالية ما عليها كلام قوة ومتانة وجوده.
positive,الاكسبديشن افضل من ناحية الراحه فرق واضح عن الجمس.
positive,الاكسبديشن راكد ما يناقز بالخط و داخل المدينه مريح.
negative,عندي فيها عطل عجزت القي له حل وهو ان عداد السرعة و الكيلو متر ما يشتغل.
positive,اشتري اكسبديشن و خاصة شكل 14وتحت مريح و صبور و عملي جدا ومن تجربة عدد من الاقارب و اليوكن ما فيه كلام صبور للي بيحافظ وانت تقول سيارة عائلية فأشوف الاكسبديشن خيار ممتاز.
neutral,وانت واقف او ماشي التكييف ممتاز لكن وانت في زحمة يعني تمشي شوي وتهدي شوي تحس البرودة تخف.
negative,صراحه كنت ناوي ع المازدا 6 لكن عدم وجود وكيل و شح قطع الغيار في المنطقة هو اللي خلاني ابعد عن المازدا.
negative,انا عندي كم ملاحظه على السيارة حاب ازيدها على كلامك. عزل السيارة سيء. اهتزاز كرسي راكب الامامي. يمكن هالمشكلة عندي فقط . تسمع أصوات الديكور اذا كنت تمشي بطريق تعبان. 
neutral,قطع الغيار بعضها غالية وبعضها رخيص.
negative,قطعة شكلها زي النجمة مع الوقت تتكسر و تسبب لك أصوات لما تلف الدركسون يمين و يسار تسمعها و لو تمشي على عيون البس تحس فيه زي الفضاوة في المساعدات.
negative,تشوف غالبية راعين البي ام أول ما ينتهي عقد الصيانة يبيعها لأنه عارف أنه بيتورط بقيمة الصيانة وقطع الغيار.
negative,ابعد عن الالماني خصوصا اذا مستعمل مشاكل كمبيوتر وكهرباء و القطع بتهد ظهرك و لازم ورش مخصصه لها مب اي ورشه الزبده بتتعبك.
neutral,الراحه السيارة مريحة بس عيبها تناقز بالخط.
negative,انا مثلك كنت ناوي على الفئة السابعة قلت خليني ادخل بقروب لل بي أم وفعلا جلست أكثر من شهر وتفاجأت بكمية الأعطال و التكاليف المهولة وبعضهم يجيب القطع من دبي أرخص وبعد كذا صرفت النظر عنها.
negative,الاقمشه الاماميه بدت تظهر أصوات.
positive,اريح لجيبك وسيارات فخمة ومواصفاتها رائعة.
positive,اللكزس عزلها حلو و مريحة و تنافس البي ام.
neutral,سيارة كل شيء اوكيه بس مشكلة فيها حذفيه لليسار.
negative,السيارة تلعب عند اللف.
negative,السيارة ما تشتغل تدق سلف لكن ما تشتغل.
negative,ما تقبل دعس بنزين وجلست تتفتف وطفيت ومن بعدها ما اشتغلت.
negative,يوم اشغلها ما تشتغل على طول تطول معي واذا اشتغلت تجي تفتفة.
negative,كثير ملاك سيارات هونداي يشتكون من محركات سياراتهم فمثلا واحد يقول خبطت سيارته سوناتا ما كمل فيها 5000 كلم.
positive,الحمدلله ما شفت من سيارتي إلا كل خير و المكيف ثلج في عز الظهر ما شاء الله.
negative,عندي كامري 2011 فيها رجة.
positive,هوندا محركاتها أقوى خصوصا سته سلندر من جميع النواحي تعيش أكثر اقتصادية فى الوقود وأقوى فى العزم.
positive,القير غياراته ما شاء الله لا نتعة و لا حبس و لا اي حاجة.
negative,عانت بعض سيارات تويوتا السيدان موديلات 2008 الى 2012 من مشاكل تخبيط القيور على ممشى قليل.
negative,محركات تويوتا الجديدة واخص الراسين اللي على الجيوب اف جي ربع شاص هدد ..الخ كثيرة التخبيط.
neutral,الهيونداي مكاينها فيها عزم بس ما تطول كثير زي تويوتا.
negative,مشكلة بالمكينة تحتاج فك وصيانة اظن كارتير.
negative,القير فيه تاخير بالتعشيق.
negative,المكينة تعبانة و القير رايح فيها.
positive,الازيرا افضل من الافالون داخليا وخارجيا ومواصفات و الأهم الرساوة بعد 170 تفوق كبير لصالح الازيرا و نعومة السواقه برضه لا تنساها.
negative,بتوفر مبلغ زهيد من البنزين مقارنة بالاكسنت ولكن راح تدفع دبله في قطع الغيار راح تتفاجئ.
positive,صممو موتر جيب فيه مواصفات وقوة وعزل ومساعدات كويسه.
negative,انا تقريبا قبل سنة حصلت عندي طقطقة وصوت يشبه صوت الدفرنس غيرت العكوس و الصوف و الرمانات ضبطت بعدها بكم شهر طلع صوت طقطقة قلت بس هذي الرمانات تعطلت مره ثانيه غيرت الرمانات و الصوف مره ثانية بعد التغيير الصوت ما راح ضاق صدري.
negative,السيارة بشعه المنظر، كم بتوفر شهريا 100 ريال مبلغ لا يستحق، سيارة 3 سلندر بتتعب المكينة بسرعة وقطع ميتسوبيشي غالية.
negative,ما يسوى عليك التوفير بتدفعه بالصيانة و القطع.
neutral,المتسوبيشي سيارة ممتازة و خدومة ضيع سوقها العيسائي برفع أسعار قطع الغيار.
negative,مع التكييف هيكون عزم المكينة ميت.
positive,انا شفت الماليبو 2017 و أعجبتني ومواصفاتها وسعرها ممتاز جدا.
positive,الافضل يارس 17 CVT من ناحية صرفية البنزين ومن ناحية توفر القطع.
positive,الاكسنت يعني فيها شوية دلع مثل ازرار بالدركسون وفيها بلوتوث ونظام ايكو لتوفيرالوقود ومقاعدها تغيرت وصارت حشوتها افضل و اريح.
positive,الحقيقه السيارة تقدر تعتمد عليها وبحكم انها سيارتي من 4 سنوات وسافرت عليها أكثر من مره خطوط طويله فوق 1000 كيلو و ما شاء الله أمورها تمام.
positive,السيارات الصغيرة ممتازة في استهلاك البنزين.
negative,نصيحة انحش من الميتسوبيشي قطعه ما تتوفر إلا عند الوكيل و لا يوجد موزعين بكثرة وقطع نار.
positive,موفرة بقوة ومكيفها طيب.
positive,عزم ووسع ورساوة وشكل افضل.
negative,قطع غيار الميتسوبيشي عموما غالية.
negative,قطع البودي غالية دائما وغير مرغوبة عند البيع تطيح قيمتها.
positive,الالتيما احس أكثر شي ملائمة و مناسبة للحريم وسعرها بالسعودية بالمعارض ممتاز.
positive,سيارة صبورة و وسيعة و مناسبة للعائلة و وقت البيع تمسك سعرها.
positive,مناسبة جدا لك لانها صغيرة وقيادتها سهلة وفيها أنظمة سلامة انا انصحك تاخذيها.
negative,سعر قطع غيار البدي غالية جدا.
negative,السيارة ما فيها لا حساسات و لا كاميرا خلفيه وهذا بالنسبة لي أكبر عيب.
negative,اذا يهمك سعر البيع لا تشتريها.
negative,كلمني اخوي يقول ايش رايك بالماليبو قلت له ابعد عنها ما تصلح بنفس اليوم وانا طالع الهدا مع الجبل واحصل ماليبو موديل جديد و الله العظيم متعطلة وواقفة عندها سطحة بتشيلها.
negative,طرمبة الزيت فيها ضعف او بداية عطل.
negative,المشكلة طرمبة الزيت مره غالية.
negative,شخال الزيت حالته جدا مزرية مسدود وكله شوائب وفيه زي الشحم.
neutral,توريس أثبتت جدارتها ولو انها أغلى شوي.
negative,توفر قطع الغيار عند الوكيل ضعيف خصوصا قطع البدي من تجربة بشفروليه كروز.
negative,لما ارجع ريوس وادق فرامل يطلع صوت طقة قوي مره.
positive,اذا يهمك صرفية البنزين فالالتيما خيار مناسب.
negative,المكيف أول سنة بس ممتاز وبعدها يخبص عليك حتى احياناً ما يشبك لازم تطفيه وتشغله وفي الصيف تتعب لهذا السبب انا أشوف سعرها مبالغ فيه.
neutral,ممتازة وما فيها أصوات من تجربة سنتين حاليا و المكيف ممتاز بس فيه بدائل افضل.
neutral,انصحك بالمازدا بس عيبها الوحيد صغيرة من داخل و الا الموتر يشهد له.
negative,اشغل السيارة ما تشتغل مع ان البطارية جديدة قبل شهر مشتريها و الكهرباء شغالة فل وبعد محاو لات اشتغلت وطلع دخان أبيض.
negative,صارت تولع لمبة تقريباً لمبة الزيت اللي في الصورة ولمبة الدبل تؤشر تطفي و تولع ايش المشكلة بالضبط.
positive,التوروس أثبت جدارته و انتشاره قوي ووكيل افضل.
negative,أشتم ريحة كربون قوي مثل البلاستيك المحروق.
positive, انا عندي 2013 ماليبو و الله و بسم الله و ما شاء الله ما شكيت منها بيوم وانا رجال راعي خطوط وسفريات وكاد معي الموتر من فضل ربي زي الحلاوة.
negative,و قسما بالله كرهت الشفر بسببها. اخذت ماليبو 2015 و صرت عميل للورش الين ما كرهتها و أتلفتها و انفكيت منها.
negative,عندي مشكلة أول ما أفك البريك و أحط السيارة على ال D ماشي يطلع عندي صوت صفير صرصرة  في السرعات الخفيفة.
negative,ما انصحك و الله أبدا لا تقرب عليها قطع نار واذا ما كنت بجدة او الرباض رح تتعب بالقطع.
neutral,ما نختلف انه السيارة قوية وعزمها ما شاء الله قوي بس السيارة حساسة جدا يعني ما تتحمل كرف.
neutral,الاستهلاك جيد بشكل عام ولكنه سيء بالنسبه لسيارة 4 سلندر.
negative,شفر صارت سيئة جودتها حتى في التاهو وغيره يا كثر مشاكلها طرمبة بخاخات عصا القير تفلت من مكانها.
negative,انا ما عمري شفت سيارات وجهيتها تطيح كثر التاهو و اليوكن سلامات.
negative,بعد فتره من الاستخدام يبدأ التكيف في الضعف التدريجي الذي يبدا من عدم التبريد عند الوقوف لينتهي بعدم التبريد تماما.
negative,لو يرجع فيني الزمن ما شريتها قطعها غالية وما تلاقيها في اي مكان ومشاكل الكهرب.
neutral,اغلب قطع السيارة الداخلية من البلاستك اللي يعتبر عملي ولكنه يتأكل مع حرارة الشمس و قلة الاهتمام .
positive,احب هنا اتكلم في احد أجمل مميزات السيارة السيارة رحبة جدا و وسيعة و مريحة في القيادة وسعة الركاب يمكن ل 3 اشخاص بالغين الجلوس في الخلف بإرتياح جيد جدا.
negative,البنزين صرفيتها عالية مقارنه بمثيلاتها بنفس الفئة.
neutral,عيب الكوري عامة المكيف تبريده متوسط داخل البلد اما مع الخط ممتاز.
positive,وسيعة من الداخل ديكورات حلوة.
positive,سيارة بمواصفات جميلة جدا مقارنة بالسعر.
negative,ابعد عن الكوري شكل يجذبك لكن بعد الاستخدام بفترة بسيطة تتمنى ما شريتها تقنية قديمة خاصة المكائن و البودي مجرد كرتون مقوى.
neutral,سيارة عملياً جيدة و تكرف معك مثل غيرها ولكن سعرها مبالغ فيه جداً.
negative,اذا ركبت تسمع أنواع الأصوات الديكور موسيقى بدون عازف.
positive,مواصفاتها وشكلها مقبولة نوعا ما.
neutral,السوناتا شكل لا يختلف عليه احد بس جوده تعبانة.
negative,سبق وان نصحت وتكلمت بمواضيع سابقه عن مكيف السوناتا اذا وقفت يقلب عليك صحراوي حتى الموديلات الجديدة لازالت نفس المشكلة.
negative,فيه نتعة بالقير وكل ما اوديها للصيانة يقولون برمجه ويبرمجونها وترجع بعد شهر نفس المشكلة وفيها مشكلة مع المنعطفات تحس ان الطارة بتقفل.
positive,الكامري خدومة لابعد درجة.
negative,عند أبوي جيلي 7 2012 و الله خرابات.
neutral,سيارة أحسن ما فيها الشكل و الخدمة و الصرفية وبس تفتقر الى المتانة و القوة و مشكلة المكيف لها 3 سنوات و لا انحلت و مشكلة دودة الدركسون و الطقطقة اثناء اللف على المطبات حتى لو توك مطلعه عند مطب باب الوكالة تسمع القربعة.
positive,عندي اوبتيما 2011 وللان شبه وكالة مثل اللوز لا أصوات و لا خرابات و الحمد لله.
negative,بخصوص سعر الشمعة صراحه غالية جدا وما في اي شي يبرر لها هذي الأسعار.
positive,انا اللي معي النترا 16 ماشي فيها لحد الان 104 الف كيلو و الحمد لله مكيفها ممتاز لانه كلتش ما هو كهرباء.
neutral,في الخطوط ما تصرف لكن بالمدينه تشرب و الله.
negative,بالنسبه لعزل السوناتا بما اني املك السيارة أسوأ عزل في فئتها.
positive,سيارة عملية و اقتصادية في البنزيم.
positive,الرساوة ما شاء الله اللي فيها.
positive,قطعها الاستهلاكيه رخيصة و صيانتها سهلة.
positive,ما شاء الله تبارك الله افضل سيارة في العزل و الرساوة و العزم أسأل الله أن يرزقني تورس.
positive,كان عندي تورس 2011 نفس هاذي صراحه موفرة بنزين بشكل كبير.
positive,محركاتها الاساسيه بدون مشاكل تذكر.
positive,صرفية البنزين اعتبرها ممتازة و الراحه بالسفر اعتبرها افضل من الاكورد لتجربتي لها سنين طويله.
positive,سيارة عضلاتها جامدة.
negative,تطفشك كل شوية دنمو خربان سلف خربان فجأة تشطح وما تشتغل.
negative,يوجد صوت طقطقة في الدركسون عند تحريك الطارة يمين وشمال أثناء توقف السيارة.
negative,عندي مشكلة في أصوات الديكور.
neutral,تورس نص فل هي حلوة و مريحة وعزل الهواء ممتاز بس ضيقة من داخل.
positive,المراتب مريحة و التكييف جيد جدا.
positive,التوريس معروف قطعه الأرخص وعزمه قوى و أعطاله قليل أصلا.
neutral,السيارة كويسه و تستحمل. القطع مرتفعة نوعا ما.
negative,الموتر ثقيل يتعبك كل شوي يرد نمره ويرتفع عداد الضغط.
negative,عندي سوناتا نص فل 2014 من يوم طلعتها من الوكالة و فراملها سيئة جدا كفر يمسك أكثر من الثاني.
neutral,عزل وداخلية جيدة جدا وأسعار القطع الاستهلاكية معقولة نوعا ما باختصار الايجابيات انها سيارة صبورة لكن اذا قطعة مو من الاستهلاكية انتهى عمرها الافتراضي لازم تشتري اصلي و الا بتبهذلك وللأسف غالية جداً القطع هذا عيبها الوحيد.
neutral,كانت معي موديل 2012 العزل متوسط الى سيء القطع الاستهلاكية رخيصة ماعدا البواجي المساعدات و العكوس زي أسعار باقي الشركات الكويلات و السيلف و الدينمو وبقية القطع الغير استهلاكية أسعارها غالية مقارنة بالمنافسين.
negative,عزمها سيء مقارنة ببقية السيارات اللي في فئتها بطة. فيها عيب مشهور تهريب زيت من طرمبة زيت الدركسون قد يتطور الى مشكلة في الدودة.
neutral,السيارة ممتازة يعيبها دودة الدركسون تهرب و العزم متوسط لأنها ثقيلة وراسية لكن في المقابل جوده وتبريد وشكل ممتازة بالنسبة لقطع الغيار مثل ما قال سلطان مثل باقي السيارات ويمكن أرخص.
neutral,بالنسبه للكرف فالموتر حق كرف و اقتصادي بالبنزين و راسي لكن العيوب قاسي شوي و العزل ممتاز لكن الأرضي لا بأس فيه.
negative,خلل في الايرباق.
negative,صوت سيء و استهلاك بنزين أعلى بشوي عن قبل.
negative,عندي مشكلة من يوم شريت الموتر وهي قربعة بالديكور فوق صراحه قربعة مزعجة بالمره لدرجة افكر ابيع الموتر.
neutral,قلنا الاستهلاكية رخيصة بإستثناء البواجي لأنها غالية سعرها حدود 300 اربع حبات من محلات قطع العيار و 600 من عند الوكيل السعر غالي حتى وان كانت اريديوم. 
negative,فيه طقطقة بالسقف وعندي القير يرجع نمره وانا ماشي.
negative,معي مشكلة في سيارتي انها ما تشتغل من أول دقه.
negative,الدايو جداً فاشل المكاين ضعيفة و القير ليس عملي خذ كلام مجرب.
negative,هونداي من أردأ السيارات و تروج على انها ذات مواصفت عالية حتى للطبقة الكادحة ما تصلح وربعنا طايحين فيها عشان الرخص باختصار فاشلة.
negative,اخوي نصيحة ابعد عنها الافيو مع الوقت تطلب قطع وصيانات و خراباتها كثير معي اختها اوبترا خراباتها كثير و بهذلتني بهذلة واغلبها واقفة في الصناعية لانها سيارات غيرعملية و الله اصلح شي و يخرب شي ثاني وعلى هذا الحال.
positive,اليارس تتحمل الكرف وعملية.
negative,جميعهن فاشلات بكل ما تعنيه الكلمة من معنى لا جوده و لا كرف و لا تحمل.
positive,ماشيه أمورها وأسعارها طيبة بعد البيع حتى وهي مكروفة.
negative,زبالة السيارات هي و الاوبترا و الايبيكا و الكروز أسوأ سيارات تصنيع كوري بشعار شيفروليه لا جوده و لا تحمل ابتعد.
positive,افضل للاستعمال اليومي وصيانته أسهل وقطع أرخص.
neutral,الاكسبيدشن مريح أكثر لكن ما يعجبني كتصميم. 
neutral,الاكسبدشن وسيع و مريح و حلو ما يتهربد بسرعة لكن عيبه مكينته تسمع فيها أصوات بلوف وتكايات وخاصة اللي يسمونه الكام شفت عمود التيمن كهرب واذا فكيته صعب جدا اللي يطبقه صح.
neutral,موتر كفو بس بصرفية البنزين يصرف شوي.
neutral,السيارة ممتازة ولكن حط في بالك هناك عيب قاتل في هالموديل او الشكل هذا بالذات فيه مشكلة بالدبل يضرب بدون سابق إنذار وبعض الاعضاء ضرب عندهم على ممشي قليل، و السيارة تفصل على 160.
neutral,المشكلة في الوكيل وثانيا غالي اصلاحه وصيانته اما شكل مواصفات خذ لك شكل ومواصفات.
positive,السيارة اعتمادية درجة أولى استخدام يومي وخطوط وبر خفيف.
negative,أكثر شي ينرفزني فيه التكييف ما فيه الا تكييف أمامي صراحه ما ينفع عندنا درجة الحرارة في الصيف توصل 50 وأكثر يعني التكييف الامامي ما راح يؤدي الغرض واذا اخذت لون غامق فهذي الطامة الكبرى يسحب الشمس سحب يعني وحالك السالم إللي ورى يحترقون فيه.
positive,جميل جدا كشكل ومواصفات واعتمادية.
positive,عندي مازدا 6 لها حول التسعة أشهر ماشيه 30 الف غيرت نظرتي في سيارات مازدا جوده ديكورات تكييف كل شي ما شاء الله.
positive,سيارة تتحمل و خدومة و حقت كرف.
negative,بحكم تجربتي للسوناتا اذا يهمك المكيف ابعد كل البعد عنها.
negative,الشكل اللي من 16 وفوق مكيفها تعبان.
negative,الانفينيتي قطعها غالية جدا وما تجيب شي عند البيع.
positive,انفينتي قوية جدا وممتعة بالقيادة لدرجة انك تطقطق على معظم السيارات من ناحية التسارع.
neutral,حلوة بشكل عام بس احس الواجهه مبالغ فيها.
neutral,اللكزس ال جي اس من مميزاتها انها دفع خلفي و السيارة للأمانة ممتازة لكن أبو جميل رافع السعر فوق عيبها الوحيد انها ضيقة شوي.
negative,قطع غيارها غالية وسعرها يطيح عند البيع و السيارة حساسة نوعا ما.
positive,عملية وفيها ضمان وصيانة مجانية لل 100 الف.
negative,الشكل السابق كان فيه abs دايم يخترب.
positive,عزم و متعة و ثبات خرافي.
positive,"السيارة اقتصادية جدا التانكي يمشيك 700 كيلو وفيها نظام تطفي عند الإشارة لتوفير البنزين, عزمها قوي."
neutral,"صوت المكينة واضح داخل المقصورة واعتبره نوعاً ما مزعج, اما الرساوة فغالبية سيارات انفنتي ثباتها عالي."
positive,عمرها أطول و العزم أقوى وتوفير البنزين افضل.
negative,عندي مشكلة في الموتر الي هي رجة في القير اذا حطيته على D و رجة في المكينة.
negative,ترافرس اكاديا تيرين كله زبالة و انت بكرامة جيوب ال 6 سلندر فاشلة جدا مشاكل تكييف وحرارة وقير.
negative,حساسات الاوكسجين ودبة الرصاص معدومة.
negative,تشرب بنزين عالي جدا.
negative,مشكلة حصلت لي قبل فترة ، كنت واقف عند مطعم حدود 20 دقيقة ، بعدها ارتفعت الحرارة و الى الان ماوجدت لها حل !. المروحة ما تشتغل الا مع المكيف واذا وصلت الحرارة النص تطفى المروحة ويقلب المكيف حار و السيارة تقطع !.
positive,افضل من ناحية القوة و المكده وصرفية البنزين السكويا معروف بالقوة و العزم.
neutral,احد الإخوان معه سيكويا يمدحه لكن يشتكي استهلاكها البنزين عالي.
neutral,موتر قوي جدا و فخم ولكن خراباته الله لا يوريك.
negative,السكويا يصرف بنزين و حجمه مبالغ فيه بيبلشك بالمواقف.
negative,وحده من الكويلات احيانا ما يوصل لها كهرباء اشغل السيارة تقعد تتفتف وافك فيش الكويل ما احس بتغيير و لا شي نفس الحاجة.
neutral,قبل أيام احد الإخوان اشترى لاند ديزل توين تيربو عزمه ممتاز جدا يعيبه فل ب 55 ريال ويمشي 1000 كيلو.
neutral,موتر لا يعلى عليه بس حط ببالك انقطع من وكيله يعني قطع الغيار نار.
negative,مسمار التوازن خربان و يحتاج تغيير.
negative,عندي صوت زقزقة في السيارة من اليسار و الصوت يزيد اذا كان الطريق كلو مايل وفي حفر.
negative,جلودها مشقوقة وطالع منها الشحم.
negative,سيارتي صوتها عالي عند المشي لما ادعس بنزين.
neutral,بصراحه التقنيات ممتازة في السيارة لكن الشكل الخارجي اودي ما عندها سالفة.
neutral,الشكل الخارجي جيد بس اصلا الالوان المعروضة و الجنط كلها سيئة.
neutral,التصميم الداخلي حلو. لكن أودي ماهي بعيدة عن ميتسوبيشي للأسف. التصاميم الخارجية أكل الدهر عليها وشرب و لا فيه تطوير.
neutral,اخر شكل الافضل بس مكينة اليارس جدا ضعيفة.
negative,نفس مكينة الايكو من 2001 ما تغيرت عزمها ضعيف.
negative,مكينتها 1300 وجربتها نوعا ما المكينة مزعجة.
positive,"افضل موديل لليارس 2017 خاصة المحرك الكبير اللي سعة 1,5 صرفية أحسن من الصغير وانشط يعطي 107 حصان."
positive,افضل في العزل الأرضي من خلال تجربتي لأغلب الموديلات.
positive,الايسوزو MUX جيب سعره معقول وديزل وعزمه ما عليه.
neutral,موتر حلو و كشخة و فخامة بس عيبه الوحيد دفع امامي.
neutral,انا اذا صملت على الديزل ما رح اتعدى اللاند كروزر V8 ديزل عزمه مجنون بالبر ولكن غالي للأسف.
negative,بصراحه سعر فورتشنر ديزل 4 سلندر دبل فوق الـ 110 الآف ريال فاعتبره غبنة على هايلوكس مقفص.
negative,الديزل مو موفر وعن تجربة.
